x,y,z,s
17.82,0.0,0.0,19.8
17.92,0.0,0.0,19.9
18.02,0.0,0.0,20.0
18.12,0.0,0.0,20.1
18.22,0.0,0.0,20.2
18.32,0.0,0.0,20.3
18.42,0.0,0.0,20.4
18.52,0.0,0.0,20.5
18.62,0.0,0.0,20.6
18.72,0.0,0.0,20.7
18.82,0.0,0.0,20.8
18.92,0.0,0.0,20.9
19.02,0.0,0.0,21.0
19.12,0.0,0.0,21.1
19.22,0.0,0.0,21.2
19.32,0.0,0.0,21.3
19.42,0.0,0.0,21.4
19.52,0.0,0.0,21.5
19.62,0.0,0.0,21.6
19.72,0.0,0.0,21.7
19.82,0.0,0.0,21.8
19.92,0.0,0.0,21.9
20.02,0.0,0.0,22.0
20.12,0.0,0.0,22.1
20.22,0.0,0.0,22.2
20.32,0.0,0.0,22.3
20.42,0.0,0.0,22.4
20.52,0.0,0.0,22.5
20.62,0.0,0.0,22.6
20.72,0.0,0.0,22.7
20.82,0.0,0.0,22.8
20.92,0.0,0.0,22.9
21.02,0.0,0.0,23.0
21.12,0.0,0.0,23.1
21.22,0.0,0.0,23.2
21.32,0.0,0.0,23.3
21.42,0.0,0.0,23.4
21.52,0.0,0.0,23.5
21.62,0.0,0.0,23.6
21.72,0.0,0.0,23.7
21.82,0.0,0.0,23.8
21.92,0.0,0.0,23.9
22.02,0.0,0.0,24.0
22.12,0.0,0.0,24.1
22.22,0.0,0.0,24.2
22.32,0.0,0.0,24.3
22.42,0.0,0.0,24.4
22.52,0.0,0.0,24.5
22.62,0.0,0.0,24.6
22.72,0.0,0.0,24.7
22.82,0.0,0.0,24.8
22.92,0.0,0.0,24.9
23.02,0.0,0.0,25.0
23.12,0.0,0.0,25.1
23.22,0.0,0.0,25.2
23.32,0.0,0.0,25.3
23.42,0.0,0.0,25.4
23.52,0.0,0.0,25.5
23.62,0.0,0.0,25.6
23.72,0.0,0.0,25.7
23.82,0.0,0.0,25.8
23.92,0.0,0.0,25.9
24.02,0.0,0.0,26.0
24.12,0.0,0.0,26.1
24.22,0.0,0.0,26.2
24.32,0.0,0.0,26.3
24.42,0.0,0.0,26.4
24.52,0.0,0.0,26.5
24.62,0.0,0.0,26.6
24.72,0.0,0.0,26.7
24.82,0.0,0.0,26.8
24.92,0.0,0.0,26.9
25.02,0.0,0.0,27.0
25.12,0.0,0.0,27.1
25.22,0.0,0.0,27.2
25.32,0.0,0.0,27.3
25.42,0.0,0.0,27.4
25.52,0.0,0.0,27.5
25.62,0.0,0.0,27.6
25.72,0.0,0.0,27.7
25.82,0.0,0.0,27.8
25.92,0.0,0.0,27.9
26.02,0.0,0.0,28.0
26.12,0.0,0.0,28.1
26.22,0.0,0.0,28.2
26.32,0.0,0.0,28.3
26.42,0.0,0.0,28.4
26.52,0.0,0.0,28.5
26.62,0.0,0.0,28.6
26.72,0.0,0.0,28.7
26.82,0.0,0.0,28.8
26.92,0.0,0.0,28.9
27.02,0.0,0.0,29.0
27.12,0.0,0.0,29.1
27.22,0.0,0.0,29.2
27.32,0.0,0.0,29.3
27.42,0.0,0.0,29.4
27.52,0.0,0.0,29.5
27.62,0.0,0.0,29.6
27.72,0.0,0.0,29.7
27.82,0.0,0.0,29.8
27.92,0.0,0.0,29.9
28.02,0.0,0.0,30.0
28.12,0.0,0.0,30.1
28.22,0.0,0.0,30.2
28.32,0.0,0.0,30.3
28.42,0.0,0.0,30.4
28.52,0.0,0.0,30.5
28.62,0.0,0.0,30.6
28.72,0.0,0.0,30.7
28.82,0.0,0.0,30.8
28.92,0.0,0.0,30.9
29.02,0.0,0.0,31.0
29.12,0.0,0.0,31.1
29.22,0.0,0.0,31.2
29.32,0.0,0.0,31.3
29.42,0.0,0.0,31.4
29.52,0.0,0.0,31.5
29.62,0.0,0.0,31.6
29.72,0.0,0.0,31.7
29.82,0.0,0.0,31.8
29.92,0.0,0.0,31.9
30.02,0.0,0.0,32.0
30.12,0.0,0.0,32.1
30.22,0.0,0.0,32.2
30.32,0.0,0.0,32.3
30.42,0.0,0.0,32.4
30.52,0.0,0.0,32.5
30.62,0.0,0.0,32.6
30.72,0.0,0.0,32.7
30.82,0.0,0.0,32.8
30.92,0.0,0.0,32.9
31.02,0.0,0.0,33.0
31.12,0.0,0.0,33.1
31.22,0.0,0.0,33.2
31.32,0.0,0.0,33.3
31.42,0.0,0.0,33.4
31.52,0.0,0.0,33.5
31.62,0.0,0.0,33.6
31.72,0.0,0.0,33.7
31.82,0.0,0.0,33.8
31.92,0.0,0.0,33.9
32.02,0.0,0.0,34.0
32.12,0.0,0.0,34.1
32.22,0.0,0.0,34.2
32.32,0.0,0.0,34.3
32.42,0.0,0.0,34.4
32.52,0.0,0.0,34.5
32.62,0.0,0.0,34.6
32.72,0.0,0.0,34.7
32.82,0.0,0.0,34.8
32.92,0.0,0.0,34.9
33.02,0.0,0.0,35.0
33.12,0.0,0.0,35.1
33.22,0.0,0.0,35.2
33.32,0.0,0.0,35.3
33.42,0.0,0.0,35.4
33.52,0.0,0.0,35.5
33.62,0.0,0.0,35.6
33.72,0.0,0.0,35.7
33.82,0.0,0.0,35.8
33.92,0.0,0.0,35.9
34.02,0.0,0.0,36.0
34.12,0.0,0.0,36.1
34.22,0.0,0.0,36.2
34.32,0.0,0.0,36.3
34.42,0.0,0.0,36.4
34.52,0.0,0.0,36.5
34.62,0.0,0.0,36.6
34.72,0.0,0.0,36.7
34.82,0.0,0.0,36.8
34.92,0.0,0.0,36.9
35.02,0.0,0.0,37.0
35.12,0.0,0.0,37.1
35.22,0.0,0.0,37.2
35.32,0.0,0.0,37.3
35.42,0.0,0.0,37.4
35.52,0.0,0.0,37.5
35.62,0.0,0.0,37.6
35.72,0.0,0.0,37.7
35.82,0.0,0.0,37.8
35.92,0.0,0.0,37.9
36.02,0.0,0.0,38.0
36.12,0.0,0.0,38.1
36.22,0.0,0.0,38.2
36.32,0.0,0.0,38.3
36.42,0.0,0.0,38.4
36.52,0.0,0.0,38.5
36.62,0.0,0.0,38.6
36.72,0.0,0.0,38.7
36.82,0.0,0.0,38.8
36.92,0.0,0.0,38.9
37.02,0.0,0.0,39.0
37.12,0.0,0.0,39.1
37.22,0.0,0.0,39.2
37.32,0.0,0.0,39.3
37.42,0.0,0.0,39.4
37.52,0.0,0.0,39.5
37.62,0.0,0.0,39.6
37.72,0.0,0.0,39.7
37.82,0.0,0.0,39.8
37.92,0.0,0.0,39.9
38.02,0.0,0.0,40.0
38.12,0.0,0.0,40.1
38.22,0.0,0.0,40.2
38.32,0.0,0.0,40.3
38.42,0.0,0.0,40.4
38.52,0.0,0.0,40.5
38.62,0.0,0.0,40.6
38.72,0.0,0.0,40.7
38.82,0.0,0.0,40.8
38.92,0.0,0.0,40.9
39.02,0.0,0.0,41.0
39.12,0.0,0.0,41.1
39.22,0.0,0.0,41.2
39.32,0.0,0.0,41.3
39.42,0.0,0.0,41.4
39.52,0.0,0.0,41.5
39.62,0.0,0.0,41.6
39.72,0.0,0.0,41.7
39.82,0.0,0.0,41.8
